g,pi,r
1.79E-02,7.36E-02,9.95E-02
4.61E-02,6.16E-02,9.65E-02
1.27E-03,1.48E-01,1.21E-01
1.69E-01,1.98E-01,1.33E-01
2.58E-02,3.03E-01,1.35E-01
4.94E-02,1.62E-01,1.39E-01
2.50E-02,5.80E-02,1.34E-01
9.85E-02,6.88E-02,1.30E-01
4.44E-02,4.35E-02,9.97E-02
4.35E-02,4.60E-02,9.11E-02
3.81E-02,1.08E-01,8.30E-02
6.96E-02,7.24E-02,6.69E-02
5.93E-02,3.12E-02,5.68E-02
5.18E-02,5.78E-02,5.76E-02
5.16E-02,6.46E-02,5.72E-02
7.28E-02,3.76E-02,5.43E-02
6.49E-02,2.80E-02,4.54E-02
6.21E-02,3.47E-02,4.22E-02
6.10E-02,-2.82E-03,4.00E-02
8.10E-02,-2.74E-02,4.57E-02
7.14E-02,3.64E-02,4.60E-02
5.87E-02,1.22E-02,4.59E-02
4.94E-02,-1.09E-02,4.75E-02
6.42E-02,1.52E-02,5.09E-02
9.15E-02,6.99E-02,4.63E-02
5.70E-02,3.36E-02,3.68E-02
5.13E-02,5.49E-02,4.18E-02
2.89E-02,3.69E-02,5.07E-02
1.28E-01,4.62E-03,4.70E-02
7.74E-02,2.56E-02,3.42E-02
5.29E-02,4.09E-02,4.03E-02
6.41E-02,4.05E-02,3.95E-02
9.10E-02,3.96E-02,2.77E-02
6.82E-02,4.06E-02,4.09E-02
4.99E-02,1.65E-02,5.13E-02
8.18E-02,7.37E-03,5.06E-02
8.31E-02,3.96E-02,4.48E-02
8.99E-02,2.30E-02,4.42E-02
7.62E-03,7.64E-02,4.41E-02
-4.09E-02,7.78E-02,3.71E-02
-4.65E-02,-6.64E-02,3.09E-02
2.22E-01,3.56E-02,2.05E-02
2.03E-02,9.96E-03,1.54E-02
7.49E-03,3.29E-02,1.63E-02
-1.08E-02,2.62E-02,1.88E-02
-2.31E-01,2.87E-02,1.90E-02
4.06E-01,-1.11E-02,2.19E-02
6.61E-02,3.21E-02,3.05E-02
7.41E-02,6.69E-02,3.09E-02
1.59E-02,4.25E-02,4.96E-02
5.48E-02,3.18E-02,9.14E-02
1.96E-02,2.24E-02,8.31E-02
6.89E-02,-1.51E-03,6.11E-02
7.72E-02,6.21E-02,4.00E-02
7.29E-02,5.56E-02,3.53E-02
3.85E-02,3.16E-02,3.08E-02
8.73E-02,2.25E-02,4.87E-02
8.71E-02,2.87E-02,5.09E-02
6.67E-02,2.88E-02,4.98E-02
4.27E-02,4.64E-02,5.15E-02
1.16E-01,3.66E-02,4.74E-02
8.90E-02,1.78E-02,5.27E-02
7.51E-02,3.34E-02,7.43E-02